siteid,Country,num_patients_all,perc_patients_ever_severe,perc_patients_never_severe,female,male,other_sex,unknown_other_sex,00to02,03to05,06to11,12to17,18to25,26to49,50to69,70to79,80plus,other_age_group,unknown_other_age_group,american_indian,asian,black,hawaiian_pacific_islander,hispanic_latino,other,white,unknown_other_race
SITE798,USA,2305,0.48850325379609544,0.5114967462039045,0.4876355748373102,0.5123644251626898,0,0,0.0017353579175704988,0,8.676789587852494e-4,8.676789587852494e-4,0.0420824295010846,0.2880694143167028,0.3969631236442516,0.13796095444685466,0.1314533622559653,0,0,4.338394793926247e-4,0.03817787418655098,0.19088937093275488,0.0039045553145336228,0,0.17310195227765726,0.5934924078091106,0.17310195227765726
SITE434,Italy,612,0.119281045751634,0.880718954248366,0.42483660130718953,0.5751633986928104,0,0,0.014705882352941176,0,0,0,0.016339869281045753,0.16830065359477125,0.380718954248366,0.16176470588235295,0.2173202614379085,0,0.04084967320261438,0,0,0,0,0,0.9591503267973857,0,1
SITE852,USA,1117,0.2837958818263205,0.7162041181736795,0.4905998209489705,0.5094001790510295,0,0,0,0,8.952551477170994e-4,0.0026857654431512983,0.01432408236347359,0.1584601611459266,0.37153088630259623,0.19785138764547897,0.25425246195165624,0,0,0.0017905102954341987,0.017905102954341987,0.13249776186213072,0,0.24082363473589974,0.046553267681289166,0.5604297224709042,0.046553267681289166
SITE510,USA,425,0.37411764705882355,0.6258823529411764,0.4376470588235294,0.5623529411764706,0,0,0,0,0,0,0.03764705882352941,0.24705882352941178,0.3552941176470588,0.14588235294117646,0.19294117647058823,0,0.021176470588235293,0,0.08470588235294117,0.08235294117647059,0,0,0.3623529411764706,0.46588235294117647,0.36705882352941177
SITE841,Germany,103,0.3786407766990291,0.6213592233009708,0.39805825242718446,0.6019417475728155,0,0,0,0,0,0,0,0.17475728155339806,0.46601941747572817,0.20388349514563106,0.10679611650485436,0,0.04854368932038835,0,0,0,0,0,0,0,1
SITE483,Germany,186,0.3333333333333333,0.6666666666666666,0.4032258064516129,0.5967741935483871,0,0,0.026881720430107527,0,0,0,0,0.14516129032258066,0.4032258064516129,0.1989247311827957,0.21505376344086022,0,0.010752688172043012,0,0,0,0,0,0,0,1
SITE288,USA,1186,0.8381112984822934,0.16188870151770657,0.44435075885328834,0.5556492411467117,0,0,0.11973018549747048,0.031197301854974706,0.03541315345699832,0.02866779089376054,0.049747048903878585,0.21838111298482293,0.3524451939291737,0.1087689713322091,0.05311973018549747,0.002529510961214165,0.002529510961214165,0.005902192242833052,0.016020236087689713,0.21247892074198987,0,0.02866779089376054,0.07251264755480608,0.678752107925801,0.0581787521079258
SITE185,Germany,81,0.3333333333333333,0.6666666666666666,0,0,0,1,0,0,0,0,0,0.25925925925925924,0.38271604938271603,0.16049382716049382,0.16049382716049382,0,0.037037037037037035,0,0,0,0,0,0.9629629629629629,0,1
SITE974,Italy,62,0.3548387096774194,0.6451612903225806,0,0,0,1,0,0,0,0,0,0.03225806451612903,0.25806451612903225,0.12903225806451613,0.5806451612903226,0,0,0,0,0,0,0,0,1,0
SITE142,USA,2377,0.31426167437946995,0.68573832562053,0.5254522507362221,0.47454774926377785,0,0,0,0,0,0,0.058897770298695834,0.24442574673958772,0.36137989061842657,0.16070677324358434,0.17206562894404712,0,0.002524190155658393,0,0.04711821623895667,0.492637778712663,0,0.11316785864535128,0.047959612957509466,0.29701304164913755,0.05006310475389146
SITE154,USA,755,0.44370860927152317,0.5562913907284768,0.4781456953642384,0.5218543046357615,0,0,0,0,0,0,0.015894039735099338,0.15894039735099338,0.3536423841059603,0.22781456953642384,0.22649006622516557,0,0.017218543046357615,0,0,0.3086092715231788,0,0,0.04900662251655629,0.6291390728476821,0.06225165562913907
